Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Desperado,1995,R,25 Aug 1995,104 min,"Action, Crime, Drama",Robert Rodriguez,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"English, Spanish","United States, Mexico",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BN2IzOThmNTMtODE4My00NTI1LThkOWMtNTA4MTc4NWI1NTNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,7.1,"205,163",tt0112851,movie,,"$25,405,445",,,tt0112851,104.0,7.1,205163.0,55.0,1995
Dushmani: A Violent Love Story,1995,Not Rated,24 Apr 1995,156 min,"Action, Drama, Romance","Bunty Soorma, Shekhar Kapur, Sanjay Khanna",Karan Razdan,"Sunny Deol, Jackie Shroff, Manisha Koirala","In order to settle personal scores; two gang leaders, Jai Singh and Oberoi fight for many years in gang-wars. There enmity multiplies when Jai's younger brother, Suraj falls in love with Oberoi's sister, Sapna which forces Suraj a...","Hindi, Urdu",India,,https://m.media-amazon.com/images/M/MV5BMGY1MTA4NTQtMWU4Yy00ZWMyLWFhMTEtMTVmNGRkY2ZhYmEzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",,4.9,294,tt0112916,movie,,,,,tt0112916,156.0,4.9,294.0,,1995
Heavy,1995,R,05 Jun 1996,105 min,"Drama, Romance",James Mangold,James Mangold,"Pruitt Taylor Vince, Liv Tyler, Shelley Winters","The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.",English,United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BOWFjMDczOGUtNzIyOC00OWYzLWFlYmEtZDFjYTkwZTAwMTI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.7,"6,060",tt0113280,movie,,"$941,414",,,tt0113280,105.0,6.7,6060.0,75.0,1995
Johnny Mnemonic,1995,R,26 May 1995,96 min,"Action, Drama, Sci-Fi",Robert Longo,William Gibson,"Keanu Reeves, Dolph Lundgren, Dina Meyer","A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.","English, Japanese","Canada, United States",2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZGFjNWVhMzktZjJkZi00NWI3LWJiY2MtMTM1MGMxYzI0NmFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36.0,5.6,"79,870",tt0113481,movie,,"$19,075,720",,,tt0113481,96.0,5.6,79870.0,36.0,1995
The Net,1995,PG-13,28 Jul 1995,114 min,"Action, Crime, Drama",Irwin Winkler,"John Brancato, Michael Ferris","Sandra Bullock, Jeremy Northam, Dennis Miller","When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.","English, Spanish",United States,2 wins total,https://m.media-amazon.com/images/M/MV5BMDNhMjgxODUtMWRjOS00N2JlLWEyYWEtOWJhNWQ1MTdmYTllXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.0,"77,927",tt0113957,movie,,"$50,727,965",,,tt0113957,114.0,6.0,77927.0,51.0,1995
Oh Darling Yeh Hai India,1995,,11 Aug 1995,160 min,Comedy,Ketan Mehta,"Parvati Balagopalan, Ketan Mehta, Deepa Sahi","Shah Rukh Khan, Deepa Sahi, Jaaved Jaaferi",Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.,Hindi,India,,https://m.media-amazon.com/images/M/MV5BMDg1YzE2NDYtNjJjZC00YjFjLTkzZjEtYzFjOTFkODNiNjg0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",,4.0,"1,965",tt0114031,movie,,,,,tt0114031,160.0,4.0,1965.0,,1995
The Quick and the Dead,1995,R,10 Feb 1995,108 min,"Action, Drama, Romance",Sam Raimi,Simon Moore,"Sharon Stone, Gene Hackman, Russell Crowe","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.","English, Spanish","United States, Japan",1 nomination total,https://m.media-amazon.com/images/M/MV5BZGRlZTJmNTEtMzE3Yi00YTAwLWIyMjgtODU4NTExNjFmOTQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.5,"110,771",tt0114214,movie,,"$18,636,537",,,tt0114214,108.0,6.5,110771.0,49.0,1995
Ram Jaane,1995,Not Rated,01 Dec 1995,122 min,"Action, Crime, Drama",Rajiv Mehra,Vinay Shukla,"Shah Rukh Khan, Juhi Chawla, Vivek Mushran","A social worker tries diligently to steer a group of wayward street urchins on the right path. But his childhood friend, now a fearless gangster, plans to bring the children into his fold.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BMTc1MDkzODk2Nl5BMl5BanBnXkFtZTcwNjA2ODgzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,"4,477",tt0114231,movie,,,,,tt0114231,122.0,5.4,4477.0,,1995
Chronicle of a Disappearance,1996,,08 Apr 1998,88 min,Drama,Elia Suleiman,Elia Suleiman,"Elia Suleiman, Nazira Suleiman, Fuad Suleiman",A Palestinian expatriate filmmaker (Elia Suleiman) documents the loss of national identity in Israel's Arab population.,"Arabic, Hebrew, French, English","Occupied Palestinian Territory, Israel, France",6 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYWFlY2RiYjctYzlmZC00ZjFmLWE5NGQtMzJiOTk1ODA3ZWNkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",,6.9,866,tt0115895,movie,,,,,tt0115895,88.0,6.9,866.0,,1996
Happy Gilmore,1996,PG-13,16 Feb 1996,92 min,"Comedy, Sport",Dennis Dugan,"Tim Herlihy, Adam Sandler","Adam Sandler, Christopher McDonald, Julie Bowen","After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMzMyZTM1MTMtNDdjOS00NzIzLTkxY2QtZTU4OGYxOTUwNDMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,7.0,"293,294",tt0116483,movie,,"$39,041,354",,,tt0116483,92.0,7.0,293294.0,31.0,1996
The Mirror Has Two Faces,1996,PG-13,15 Nov 1996,126 min,"Comedy, Drama, Romance",Barbra Streisand,"André Cayatte, Gérard Oury, Richard LaGravenese","Barbra Streisand, Jeff Bridges, Lauren Bacall","A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",English,United States,Nominated for 2 Oscars. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZTc3ZmJkYTUtZGQwOC00NWNkLWE4YjEtZDZiOGZmN2I0NzIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}]",,6.6,"24,830",tt0117057,movie,,"$41,083,864",,,tt0117057,126.0,6.6,24830.0,,1996
Anaconda,1997,PG-13,11 Apr 1997,89 min,"Action, Adventure, Horror",Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.","Jon Voight, Jennifer Lopez, Eric Stoltz","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",English,"United States, Brazil",6 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMmU2ZGYyZDAtZGM3My00NjQ4LTlmZmQtNzY4OGRlNDFjNTE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,4.9,"119,277",tt0118615,movie,,"$65,885,767",,,tt0118615,89.0,4.9,119277.0,37.0,1997
The Devil's Advocate,1997,R,17 Oct 1997,144 min,"Drama, Fantasy, Mystery",Taylor Hackford,"Andrew Neiderman, Jonathan Lemkin, Tony Gilroy","Keanu Reeves, Al Pacino, Charlize Theron",An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,"English, German, Italian, Mandarin, Spanish",United States,2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNGIxZmU2ZjEtYjc3OC00Y2FiLWE2ZTQtZGI3NzE0YmRhOTMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,7.5,"434,796",tt0118971,movie,,"$60,944,660",,,tt0118971,144.0,7.5,434796.0,60.0,1997
Donnie Brasco,1997,R,28 Feb 1997,127 min,"Biography, Crime, Drama",Mike Newell,"Joseph D. Pistone, Richard Woodley, Paul Attanasio","Al Pacino, Johnny Depp, Michael Madsen",An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,"English, Italian, Japanese",United States,Nominated for 1 Oscar. 2 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZWZkNDA2YTctZWJhZS00OTAzLThlODMtY2QyMzg1MTEwYjU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,7.7,"348,793",tt0119008,movie,,"$41,909,762",,,tt0119008,127.0,7.7,348793.0,77.0,1997
Double Team,1997,R,04 Apr 1997,93 min,"Action, Comedy, Sci-Fi",Hark Tsui,"Don Jakoby, Paul Mones","Jean-Claude Van Damme, Dennis Rodman, Mickey Rourke",An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.,"English, Italian","United States, Hong Kong",4 wins total,https://m.media-amazon.com/images/M/MV5BZDhiNmU0OWMtN2I3YS00MWU3LWI4YTktMjQxMzJhYjQzMDRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,4.8,"38,285",tt0119013,movie,,"$11,438,337",,,tt0119013,93.0,4.8,38285.0,44.0,1997
Gattaca,1997,PG-13,24 Oct 1997,106 min,"Drama, Sci-Fi, Thriller",Andrew Niccol,Andrew Niccol,"Ethan Hawke, Uma Thurman, Gore Vidal","Vincent, an ""In-Valid,"" assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect.","English, Esperanto",United States,Nominated for 1 Oscar. 6 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjQxNTc3YzQtZDA5ZC00MmM5LWE3NGYtMGE0Yjk3MDYwODVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,7.7,"341,665",tt0119177,movie,,"$12,532,777",,,tt0119177,106.0,7.7,341665.0,64.0,1997
I Know What You Did Last Summer,1997,R,17 Oct 1997,101 min,"Horror, Mystery",Jim Gillespie,"Kevin Williamson, Lois Duncan","Jennifer Love Hewitt, Sarah Michelle Gellar, Anne Heche",Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,English,United States,4 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BOGE1MmMxZDMtYzkyYS00N2EzLTgxYWItNWZiN2NmMzZiZTNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,5.8,"177,458",tt0119345,movie,,"$72,586,134",,,tt0119345,101.0,5.8,177458.0,52.0,1997
Destiny,1997,,16 Oct 1998,135 min,"Comedy, Drama, History",Youssef Chahine,"Youssef Chahine, Khaled Youssef","Nour El-Sherif, Layla Olwi, Mahmoud Hemida","The story is set in the 12th century in Arab-ruled Spanish province Andalusia, where famed philosopher Averroes is appointed grand judge by the caliph and his liberal court judgments are not liked by everyone. The caliph's politic...","Arabic, French","France, Egypt",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ1ODBlMjUtYmQ5YS00MTE2LWFiZDktOWMwZWU0OTRiNjIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"3,263",tt0119629,movie,,,,,tt0119629,135.0,7.2,3263.0,,1997
Seven Years in Tibet,1997,PG-13,10 Oct 1997,136 min,"Adventure, Biography, Drama",Jean-Jacques Annaud,"Heinrich Harrer, Becky Johnston","Brad Pitt, David Thewlis, BD Wong","Heinrich Harrer, an Austrian climber and Nazi supporter, breaks out of a British POW camp in India and treks to the holy city of Lhasa where he's employed as an instructor to the young 14th Dalai Lama and soon becomes his close co...","English, German, Mandarin, Tibetan, Hindi",United States,3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTE3NGU1ZDAtN2Y2MC00Y2VkLThjMDUtMTQxMWVmYTY2ZmU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,7.1,"164,208",tt0120102,movie,,"$37,957,682",,,tt0120102,136.0,7.1,164208.0,55.0,1997
Spawn,1997,PG-13,01 Aug 1997,96 min,"Action, Crime, Drama",Mark A.Z. Dippé,"Todd McFarlane, Alan B. McElroy, Mark A.Z. Dippé","Michael Jai White, John Leguizamo, Martin Sheen","An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.",English,United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BODhmNzA4ZjEtMTE2YS00ZTY2LThlMjEtZTdiZTM2NmY4MDJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,5.2,"74,931",tt0120177,movie,,"$54,870,175",,,tt0120177,96.0,5.2,74931.0,34.0,1997
Starship Troopers,1997,R,07 Nov 1997,129 min,"Action, Adventure, Sci-Fi",Paul Verhoeven,"Edward Neumeier, Robert A. Heinlein","Casper Van Dien, Denise Richards, Dina Meyer","Humans, in a fascist militaristic future, wage war with giant alien bugs.",English,United States,Nominated for 1 Oscar. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZTNiOGM1ZWUtZTZjZC00OWJmLWE2YzUtZjQ4ODZjZmVlMDU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,7.3,"340,192",tt0120201,movie,,"$54,814,377",,,tt0120201,129.0,7.3,340192.0,52.0,1997
Blade,1998,R,21 Aug 1998,120 min,"Action, Horror, Sci-Fi",Stephen Norrington,David S. Goyer,"Wesley Snipes, Stephen Dorff, Kris Kristofferson","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","English, Russian, Serbian",United States,5 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNzAzMmY3OWMtNDgyMS00Y2U4LTlmM2UtY2YwMmM0MDI5ODJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,7.1,"324,654",tt0120611,movie,,"$70,087,718",,,tt0120611,120.0,7.1,324654.0,47.0,1998
Godzilla,1998,PG-13,20 May 1998,139 min,"Action, Sci-Fi, Thriller",Roland Emmerich,"Dean Devlin, Roland Emmerich, Ted Elliott","Matthew Broderick, Jean Reno, Maria Pitillo",French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.,"English, French, Japanese, Russian, Spanish","United States, Japan",10 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMzdmYmUzYjAtMmJhNi00NGU3LWJiODYtM2I5MGFhZjBhM2NhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32.0,5.5,"210,191",tt0120685,movie,,"$136,314,294",,,tt0120685,139.0,5.5,210191.0,32.0,1998
The Mask of Zorro,1998,PG-13,17 Jul 1998,136 min,"Action, Adventure, Comedy",Martin Campbell,"Johnston McCulley, Ted Elliott, Terry Rossio","Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones","A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance.",English,"United States, Mexico, Germany",Nominated for 2 Oscars. 9 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMzA2MDgyYzMtNjc4OC00YjU0LWEzMWEtOTRhMTViODY0Mjk0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,6.8,"206,947",tt0120746,movie,,"$94,095,523",,,tt0120746,136.0,6.8,206947.0,62.0,1998
Saving Private Ryan,1998,R,24 Jul 1998,169 min,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.","English, French, German, Czech",United States,Won 5 Oscars. 79 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91.0,8.6,"1,598,938",tt0120815,movie,,"$217,049,603",,,tt0120815,169.0,8.6,1598938.0,91.0,1998
U.S. Marshals,1998,PG-13,06 Mar 1998,131 min,"Action, Crime, Thriller",Stuart Baird,"Roy Huggins, John Pogue","Tommy Lee Jones, Wesley Snipes, Robert Downey Jr.","U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZTdlYTU2OGYtZjljOS00ZjFhLTk5NjAtZDQwZmNkYzk4YWQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.6,"118,476",tt0120873,movie,,"$57,167,405",,,tt0120873,131.0,6.6,118476.0,47.0,1998
Corpse Bride,2005,PG,23 Sep 2005,77 min,"Animation, Comedy, Drama","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel, John August","Johnny Depp, Helena Bonham Carter, Emily Watson","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",English,"United States, United Kingdom",Nominated for 1 Oscar. 9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,7.4,"319,371",tt0121164,movie,,"$53,401,527",,,tt0121164,77.0,7.4,319371.0,83.0,2005
Chamatkar,1992,Not Rated,08 Jul 1992,171 min,"Comedy, Drama, Fantasy",Rajiv Mehra,"Shaukat Baig, Lilliput, Rajiv Mehra","Naseeruddin Shah, Shah Rukh Khan, Urmila Matondkar","When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BNzkzODdkYjAtM2I5MC00MTFlLTgxYmEtOThiNzlkM2NjNGQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"7,310",tt0126234,movie,,,,,tt0126234,171.0,6.5,7310.0,,1992
You've Got Mail,1998,PG,18 Dec 1998,119 min,"Comedy, Drama, Romance",Nora Ephron,"Miklós László, Nora Ephron, Delia Ephron","Tom Hanks, Meg Ryan, Greg Kinnear","Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business.",English,United States,6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BN2FhMWRiODYtMTQwMy00OTE2LTlhZjMtNWRmYmIyZjYwYTk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,6.7,"238,946",tt0128853,movie,,"$115,821,495",,,tt0128853,119.0,6.7,238946.0,58.0,1998
I Still Know What You Did Last Summer,1998,R,13 Nov 1998,100 min,"Horror, Mystery, Thriller",Danny Cannon,"Lois Duncan, Trey Callaway","Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood","The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",English,"United States, Mexico",5 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BOTA2ZDVlNGMtNDFmZi00YjIzLWJmZGQtNzQwODJkY2YwNGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21.0,4.8,"81,882",tt0130018,movie,,"$40,002,112",,,tt0130018,100.0,4.8,81882.0,21.0,1998
English Babu Desi Mem,1996,Not Rated,26 Jan 1996,170 min,"Comedy, Drama, Musical",Praveen Nischol,"G.M. Ayaz, S. Ali Raza","Shah Rukh Khan, Sonali Bendre, Rajeshwari","After his brother dies, wealthy Vikram reluctantly goes back to India and forms a surprise bond with his orphaned nephew and the showgirl raising him.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BM2IwMzhmMTAtYjRmYy00OTc0LWJkYTYtNzk4M2IyNjcwM2I2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,"2,781",tt0136153,movie,,,,,tt0136153,170.0,4.6,2781.0,,1996
Maya,1993,,02 Jul 1993,130 min,"Drama, Mystery, Romance",Ketan Mehta,"Gustave Flaubert, Sitanshu Yashaschandra, Ketan Mehta","Deepa Sahi, Farooq Shaikh, Raj Babbar","A beautiful, wealthy woman's insatiable appetite for romance leads to tragedy and a police investigation.",Hindi,"France, India, United Kingdom",1 win,https://m.media-amazon.com/images/M/MV5BOWVhZDFmZDQtMzE5Mi00YmVkLWJkMTUtZjYzNGUzMmVmMzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,"2,405",tt0137100,movie,,,,,tt0137100,130.0,5.4,2405.0,,1993
Avvai Shanmugi,1996,,10 Nov 1996,161 min,"Comedy, Drama",K.S. Ravikumar,"Crazy Mohan, K.S. Ravikumar","Kamal Haasan, Meena, Gemini Ganesan",A man disguises himself as a nanny to be with his daughter after his divorce.,Tamil,India,,https://m.media-amazon.com/images/M/MV5BZGU3OTA1MWUtNjI4Yi00OWU2LWFhMWMtMDc1ZjhkMzU5OWFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",,7.9,"3,008",tt0139872,movie,,,,,tt0139872,161.0,7.9,3008.0,,1996
Muthu,1995,,23 Oct 1995,156 min,"Action, Comedy, Drama",K.S. Ravikumar,K.S. Ravikumar,"Rajinikanth, Meena, Sarath Babu","The movie is about a loyal servant, Muthu (Rajni), working for Zamindar Malayasimman (Sarath Babu) and the cunning plans by the uncle of Malasimman to capture the whole wealth which uncovers some mystery about Muthu.",Tamil,India,3 wins,https://m.media-amazon.com/images/M/MV5BYjM1NWVjOWMtMDhlMC00ZTkzLWI1N2UtNGJhNTJhYTA5ZjdiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"3,728",tt0140399,movie,,,,,tt0140399,156.0,7.5,3728.0,,1995
The General's Daughter,1999,R,18 Jun 1999,116 min,"Crime, Drama, Mystery",Simon West,"Nelson DeMille, Christopher Bertolini, William Goldman","John Travolta, Madeleine Stowe, James Cromwell","When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point.",English,"Germany, United States",3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNmZiZjk0OTQtZDhiNS00YzRjLWJmOWItZjM3ZGI4NDU5NDE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.4,"67,337",tt0144214,movie,,"$102,705,852",,,tt0144214,116.0,6.4,67337.0,47.0,1999
