Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
Once Upon a Time in America,1984,R,01 Jun 1984,229 min,"Crime, Drama",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Robert De Niro, James Woods, Elizabeth McGovern","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","English, Italian, French, Yiddish, Hebrew","Italy, United States",Won 2 BAFTA 11 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.3,"400,934",tt0087843,movie,N/A,"$5,321,508",N/A,N/A,tt0087843
Waiting for the Hearse,1985,N/A,06 May 1985,94 min,Comedy,Alejandro Doria,"Alejandro Doria, Jacobo Langsner","Luis Brandoni, China Zorrilla, Antonio Gasalla",Each member of this family tries to endorse someone else to care for the old Mother.,Spanish,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BMmY5ZmNkZTYtOGY4OC00ZGI5LWE0ZjctNzQ2ZGJjMDZmYzk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"7,548",tt0089108,movie,N/A,N/A,N/A,N/A,tt0089108
Adam: His Song Continues,1986,Not Rated,29 Sep 1986,100 min,"Crime, Drama",Robert Markowitz,Oliver Hailey,"Daniel J. Travanti, JoBeth Williams, Richard Masur","Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjIwMDc1NTM3OV5BMl5BanBnXkFtZTgwNzAwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,247,tt0090589,movie,N/A,N/A,CBS,N/A,tt0090589
The George McKenna Story,1986,Not Rated,11 Nov 1986,100 min,"Biography, Drama",Eric Laneuville,Charles Eric Johnson,"Denzel Washington, Lynn Whitfield, Akosua Busia",He risked it all to make the grade.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTY3OTgyMDM0OV5BMl5BanBnXkFtZTcwNjc1MjkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"1,109",tt0091106,movie,N/A,N/A,N/A,N/A,tt0091106
She's Gotta Have It,1986,R,08 Aug 1986,84 min,"Comedy, Romance",Spike Lee,"Spike Lee, Zora Neale Hurston","Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell",Story of a woman and her three lovers.,English,United States,4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMWVkYzgxNzgtNjY4NS00ZGFhLTlhMmYtNjM0Yzg5YmIyYmZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.8,"17,110",tt0091939,movie,N/A,"$7,137,502",N/A,N/A,tt0091939
Stand by Me,1986,R,22 Aug 1986,89 min,"Adventure, Comedy, Drama",Rob Reiner,"Stephen King, Raynold Gideon, Bruce A. Evans","Wil Wheaton, River Phoenix, Corey Feldman",A writer recounts a childhood journey with his friends to find the body of a missing boy.,English,United States,Nominated for 1 Oscar. 6 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNGJkNTUwM2MtZWE2MS00YjNkLWE3MjktNWQwZDQxMDIyZWVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.1,"473,631",tt0092005,movie,N/A,"$52,287,414",N/A,N/A,tt0092005
Top Gun,1986,PG,16 May 1986,110 min,"Action, Drama",Tony Scott,"Jim Cash, Jack Epps Jr., Ehud Yonay","Tom Cruise, Tim Robbins, Kelly McGillis","The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds ...",English,United States,Won 1 Oscar. 11 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZmVjNzQ3MjYtYTZiNC00Y2YzLWExZTEtMTM2ZDllNDI0MzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,7.0,"538,178",tt0092099,movie,N/A,"$180,258,178",N/A,N/A,tt0092099
Eddie Murphy: Raw,1987,R,18 Dec 1987,93 min,"Documentary, Comedy",Robert Townsend,"Eddie Murphy, Keenen Ivory Wayans","Eddie Murphy, Tatyana Ali, Billie Allen",Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTAxM2E4MGUtMGMyYS00ZGEyLThjMmQtNjQ1MmQ5ZTEyMzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.6,"21,341",tt0092948,movie,N/A,"$50,504,655",N/A,N/A,tt0092948
Full Metal Jacket,1987,R,10 Jul 1987,116 min,"Drama, War",Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"English, Vietnamese","United Kingdom, United States",Nominated for 1 Oscar. 8 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.2,"834,651",tt0093058,movie,N/A,"$46,357,676",N/A,N/A,tt0093058
Strange Voices,1987,Not Rated,19 Oct 1987,100 min,Drama,Arthur Allan Seidelman,"Donna Powers, Wayne Powers, Roberta Dacks","Nancy McKeon, Valerie Harper, Stephen Macht","A family begins to fall apart when they find out their eldest daughter, Nicole, is a victim of schizophrenia.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU5MTU4MzIxNV5BMl5BanBnXkFtZTgwODAwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,424,tt0094052,movie,N/A,N/A,N/A,N/A,tt0094052
Mobile Suit Gundam: Char's Counterattack,1988,Not Rated,12 Mar 1988,124 min,"Animation, Action, Drama",Yoshiyuki Tomino,Yoshiyuki Tomino,"Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki",Amuro Ray and Char Aznable settle their rivalry once and for all during the Second Neo Zeon War.,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYjkzMzQ1ODAtN2I5ZC00NGFkLWIzOWMtMjdkNjAwNTUyOTRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"2,448",tt0095262,movie,N/A,N/A,N/A,N/A,tt0095262
Quiet Victory: The Charlie Wedemeyer Story,1988,Not Rated,26 Dec 1988,100 min,Drama,Roy Campanella II,Barry Morrow,"Pam Dawber, Michael Nouri, Bess Meyer",A real-life story about a high school teacher and football coach who is diagnosed with Lou Gehrig's disease but refuses to give in.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2ExOGI3ZjAtM2FlNS00MWIxLTg4ZjYtYTg4NjVhNDU0ZjEyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,158,tt0095945,movie,N/A,N/A,N/A,N/A,tt0095945
A Stoning in Fulham County,1988,Not Rated,24 Oct 1988,94 min,"Crime, Drama, Thriller",Larry Elikann,"Jackson Gillis, Jud Kinberg","Ken Olin, Jill Eikenberry, Maureen Mueller",Religious beliefs clash with the law when an Amish infant is killed in a rural community.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTY3MDE0OTY5OV5BMl5BanBnXkFtZTgwMDEwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,476,tt0096179,movie,N/A,N/A,N/A,N/A,tt0096179
Too Young the Hero,1988,Not Rated,27 Mar 1988,100 min,"Biography, Drama, War",Buzz Kulik,"Calvin Graham, Gary Thomas, David J. Kinghorn","Ricky Schroder, Jon DeVries, Debra Mooney","The true story of Calvin Graham who at the age of twelve, but looking quite a lot older, succeeded in joining the navy during World War II. In spite of his young age, he received a Purple Heart for his bravery in the Naval Battle ...",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNDY4ZjEyOWItY2IzOC00NTI4LTk0MTEtNDNkYzYzMmYxMjRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,593,tt0096286,movie,N/A,N/A,N/A,N/A,tt0096286
Mujrim,1989,N/A,28 Jun 1989,163 min,"Action, Crime",Umesh Mehra,"Mukul Dutt, P.D. Mehra, Vinay Shukla","Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BOWQwZWE5MjctMTlkYy00NWUwLTg0ZTktZmUxYzcxZGE4NWNkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,263,tt0097926,movie,N/A,N/A,N/A,N/A,tt0097926
Pet Sematary,1989,R,21 Apr 1989,103 min,"Fantasy, Horror, Thriller",Mary Lambert,Stephen King,"Dale Midkiff, Denise Crosby, Fred Gwynne","After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",English,United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZTEyYWIyZWYtMTM5OC00M2ZmLWI5NzMtZjA0ZTI4MTQ4ZDZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.5,"121,808",tt0098084,movie,N/A,"$57,469,467",N/A,N/A,tt0098084
The Ryan White Story,1989,Not Rated,16 Jan 1989,105 min,"Biography, Drama",John Herzfeld,"Phil Penningroth, John Herzfeld","Judith Light, Lukas Haas, Michael Bowen","The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ0NjI2NTgtZWYxNy00M2JjLWEyODgtY2Q2NzJmMmUyOTE4XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,000",tt0098237,movie,N/A,N/A,N/A,N/A,tt0098237
When Harry Met Sally...,1989,R,21 Jul 1989,95 min,"Comedy, Drama, Romance",Rob Reiner,Nora Ephron,"Billy Crystal, Meg Ryan, Carrie Fisher","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",English,United States,Nominated for 1 Oscar. 6 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.7,"259,667",tt0098635,movie,N/A,"$93,117,425",N/A,N/A,tt0098635
Agneepath,1990,Not Rated,16 Feb 1990,174 min,"Action, Crime, Drama",Mukul Anand,"H. Banerjee, Kader Khan, Santosh Saroj","Amitabh Bachchan, Mithun Chakraborty, Madhavi","A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?",Hindi,India,3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZGJmYWYyYTgtZGZhOC00N2UxLWI3OGEtOTUwZWRjYWE1MDk3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"9,656",tt0098999,movie,N/A,N/A,N/A,N/A,tt0098999
Awakenings,1990,PG-13,11 Jan 1991,121 min,"Biography, Drama",Penny Marshall,"Oliver Sacks, Steven Zaillian","Robert De Niro, Robin Williams, Julie Kavner",Dr. Sayer is a pioneering neurologist who wants to take a risk and give his patients who suffer from encephalitis a drug used for Parkinson's Disease. He tries it out on one man who miraculously wakes from his perpetual catatonic ...,English,United States,Nominated for 3 Oscars. 6 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZDUzOGQ4YTctNTY1OS00M2UzLWFjNzYtMGNlN2E5NDA2MGVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.8,"171,002",tt0099077,movie,N/A,"$52,096,475",N/A,N/A,tt0099077
Dil,1990,Not Rated,22 Jun 1990,172 min,"Comedy, Drama, Romance",Indra Kumar,"Rajeev Kaul, Naushir Khatau, Kamlesh Pandey","Aamir Khan, Madhuri Dixit, Saeed Jaffrey","A man pretends to be a rich industrialist to improve his son's chances of marrying in to wealth, but his plan backfires on him.",Hindi,India,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BNWM5YTM1MDItMmViYy00NDliLWEwYWQtYTVjOGY3ODllZjEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"5,805",tt0099429,movie,N/A,N/A,N/A,N/A,tt0099429
#DUPE#,1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0099396,movie,N/A,N/A,N/A,N/A,tt0099833
Alexandria: Again and Forever,1989,Not Rated,20 Jun 1990,100 min,Drama,Youssef Chahine,"Youssef Chahine, Yousry Nasrallah","Youssra, Youssef Chahine, Hussein Fahmy","During a hunger strike by the Egyptian film industry, Yehia, a famous Egyptian director, finds himself obsessed with Amir, the leading man in one of his movies, and Nadia, a woman he desires to work with.",Arabic,"France, Egypt",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMWYxNzdlOGYtOTliMC00Mzc1LWE4MjMtYjkxZjlhOWY3ZWQ1XkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,811,tt0099858,movie,N/A,N/A,N/A,N/A,tt0099858
Teenage Mutant Ninja Turtles,1990,PG,30 Mar 1990,93 min,"Action, Adventure, Comedy",Steve Barron,"Kevin Eastman, Peter Laird, Bobby Herbeck","Judith Hoag, Elias Koteas, Josh Pais",Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,"English, French","Hong Kong, United States",3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNzg3NTQ4NDk5NV5BMl5BanBnXkFtZTgwNzMzNDg4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.8,"109,497",tt0100758,movie,N/A,"$135,384,756",N/A,N/A,tt0100758
Unspeakable Acts,1990,Not Rated,15 Jan 1990,100 min,"Biography, Drama",Linda Otto,"Jan Hollingsworth, Alan Landsburg, Hesper Anderson","Jill Clayburgh, Brad Davis, Sam Behrens",The story of child psychologists Dr. Laurie and Joseph Braga and their involvement in one of the worst child sex abuse scandals in the U.S.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ3MzYzMDA4MF5BMl5BanBnXkFtZTgwMjIwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,571,tt0100848,movie,N/A,N/A,N/A,N/A,tt0100848
Out of Life,1991,N/A,15 May 1991,97 min,"Crime, Drama, War",Maroun Bagdadi,"Roger Auque, Maroun Bagdadi, Didier Decoin","Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity",A French photograher is kidnapped and held hostage in a war-torn Beirut. Slowly but surely his integrity and self-respect is broken.,"French, Arabic, English","France, Belgium, Italy",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTg3NjcxNDA3Ml5BMl5BanBnXkFtZTcwNTgxNzYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,515,tt0102058,movie,N/A,N/A,N/A,N/A,tt0102058
Knight Rider 2000,1991,TV-PG,19 May 1991,95 min,"Action, Sci-Fi",Alan J. Levi,"Glen A. Larson, Rob Hedden","David Hasselhoff, Edward Mulhare, Susan Norman","In the future, guns are banned and criminals are frozen for the duration of their sentences. A recent spate of killings brings Michael Knight back to fight for justice to team up once again with K.I.T.T. - but he was dismantled.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWQ3OTQ0YjctN2YyMy00MTQ4LWJhZjctNWQ4MTViNDFiMjE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,"3,624",tt0102227,movie,N/A,N/A,N/A,N/A,tt0102227
My Girl,1991,PG,27 Nov 1991,102 min,"Comedy, Drama, Family",Howard Zieff,Laurice Elehwany,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd","Vada is obsessed with death. Her mother is dead, and her father runs a funeral parlor. When Vada's father hires Shelly, a makeup expert, and begins to fall in love, Vada is outraged and does everything in her power to split them up.",English,United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNmI5M2EzZDUtZTBkZS00YWFmLWFhZTMtNjc3YTllZDBhODQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.9,"94,285",tt0102492,movie,N/A,"$59,489,799",N/A,N/A,tt0102492
Nightmare in Columbia County,1991,Not Rated,10 Dec 1991,100 min,"Crime, Drama, Thriller",Roger Young,John Bensink,"William Devane, Jeri Ryan, Michele Abrams",The recounting of a terrible crime that wracked a family and galvanized police in South Carolina in the 1980's.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjdiYmZlN2ItZTZlNC00YmEwLWExYWYtNDE3YjJlNDA2MDE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,411,tt0102537,movie,N/A,N/A,N/A,N/A,tt0102537
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG,22 Mar 1991,88 min,"Action, Adventure, Comedy",Michael Pressman,"Kevin Eastman, Peter Laird, Todd W. Langen","Paige Turco, David Warner, Michelan Sisti",The Turtles discover their origins while they endeavour to save New York City from the evil Shredder and his Foot Clan.,English,"Hong Kong, United States",2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYzQwYzlhMjctMTcxYS00N2NmLTg4YzYtNjJjZjNhZTA0MzFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.0,"63,358",tt0103060,movie,N/A,"$78,656,813",N/A,N/A,tt0103060
A Triumph of the Heart: The Ricky Bell Story,1991,Not Rated,02 Apr 1991,100 min,"Biography, Drama, Sport",Richard Michaels,Jeff Andrus,"Mario Van Peebles, Susan Ruttan, Lane R. Davis","In the early 1980s, football star Ricky Bell befriends Ryan Blankenship, a disabled boy.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTc2NTQ2MDk1Nl5BMl5BanBnXkFtZTcwNDI1NTkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,267,tt0103123,movie,N/A,N/A,N/A,N/A,tt0103123
A River Runs Through It,1992,PG,30 Oct 1992,123 min,Drama,Robert Redford,"Norman Maclean, Richard Friedenberg","Craig Sheffer, Brad Pitt, Tom Skerritt","Two sons of a stern minister - one reserved, one rebellious - grow up in rural 1920s Montana while devoted to fly fishing.",English,United States,Won 1 Oscar. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjRlYWIwNWEtZjMxYy00N2JjLWFiNzMtM2NlZDU2ZjhjMWY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.2,"68,633",tt0105265,movie,N/A,"$43,440,294",N/A,N/A,tt0105265
Aashik Aawara,1993,N/A,28 May 1993,N/A,Drama,Umesh Mehra,"Umesh Mehra, Shaktimaan Talwar","Saif Ali Khan, Mamta Kulkarni, Mohnish Behl","Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",Hindi,India,2 wins,https://m.media-amazon.com/images/M/MV5BNzRiMWRkZjYtNmNkZi00M2I5LThhOGItODA3NDJjYjY2OWZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,384,tt0106206,movie,N/A,N/A,N/A,N/A,tt0106206
Cliffhanger,1993,R,28 May 1993,113 min,"Action, Adventure, Thriller",Renny Harlin,"John Long, Michael France, Sylvester Stallone","Sylvester Stallone, John Lithgow, Michael Rooker","Former mountain rescuer, Gabe Walker, must rescue a group of plane crash survivors in the Rocky Mountains. However they are actually a group of violent criminals who need help to locate their missing loot from a US Treasury plane.",English,"France, Italy, Japan, United States",Nominated for 3 Oscars. 1 win & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNGJkZmZlYTYtODQ1ZC00N2JiLWIxMWYtZTE4ZDMxZjQyZTAzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.5,"145,457",tt0106582,movie,N/A,"$84,049,211",N/A,N/A,tt0106582
Damini,1993,Not Rated,30 Apr 1993,175 min,"Crime, Drama",Rajkumar Santoshi,"Sutanu Gupta, Dilip Shukla","Meenakshi Sheshadri, Rishi Kapoor, Sunny Deol","After witnessing a rape in her own household, Damini fights for justice for the deceased victim. However, she faces a bunch of challenges until she meets a disgraced lawyer who decides to fight the case and bring the culprits to j...",Hindi,India,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BODRiZGViZTAtYTEwMy00NTA4LTljMTctMDNhNjk2ODdhMDY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"4,127",tt0106655,movie,N/A,N/A,N/A,N/A,tt0106655
Dennis the Menace,1993,PG,25 Jun 1993,94 min,"Comedy, Family",Nick Castle,"Hank Ketcham, John Hughes","Walter Matthau, Mason Gamble, Joan Plowright","When his parents must go out of town on business, Dennis stays with Mr. and Mrs. Wilson. He is driving Mr. Wilson crazy, but he is just trying to be helpful, even to the thief who has arrived in town.","English, French",United States,3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMWZhMTFmMjktNzdhYy00NmYxLWIzZDEtNzFjODIzZmM4Yjc5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.7,"67,220",tt0106701,movie,N/A,"$51,270,765",N/A,N/A,tt0106701
Free Willy,1993,PG,16 Jul 1993,112 min,"Adventure, Drama, Family",Simon Wincer,"Keith Walker, Corey Blechman","Jason James Richter, Lori Petty, Michael Madsen","When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",English,"France, United States",7 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNjY4NDJhOTMtZmVjMC00Njk5LThjOWItMjg4NDcxMmNkODM3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.1,"86,948",tt0106965,movie,N/A,"$77,709,806",N/A,N/A,tt0106965
Geronimo: An American Legend,1993,PG-13,10 Dec 1993,115 min,"Drama, History, Western",Walter Hill,"John Milius, Larry Gross","Jason Patric, Gene Hackman, Robert Duvall",The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.,"English, Apache languages",United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BOWFjMTk3MjItZWRlNS00ZmFiLWJhMWQtNmZhMzQ4MjkxMGI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.5,"14,083",tt0107004,movie,N/A,"$18,635,620",N/A,N/A,tt0107004
Gumrah,1993,Not Rated,03 Aug 1993,149 min,"Action, Crime, Drama",Mahesh Bhatt,"Robin Bhatt, Sujit Sen","Sanjay Dutt, Sridevi, Anupam Kher","Roshni Chadha, a singer in Bombay, is imprisoned in Hong Kong facing death sentence. Her troubled past involving unknown father's abandonment drives her journey to unravel truth and escape this predicament.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BZjc0OGMzZDEtZDhlMi00ODgyLTgwZDAtNTgyZDEzN2VlYTZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"1,036",tt0107060,movie,N/A,N/A,N/A,N/A,tt0107060
