Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
Jésus 2020,2020,N/A,N/A,24 min,"Short, Comedy",Aude Thuries,Aude Thuries,"Alice de Lencquesaing, Bastien Bouillon, Franc Bruneau",N/A,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMTRhOTg2OTQtYTg0MC00MjdiLTkwNTItYjY4NTU5Nzk3ZDg2XkEyXkFqcGdeQXVyMTMwNjQxNDU1._V1_SX300.jpg,[],N/A,N/A,9,tt12973762,movie,N/A,N/A,N/A,N/A
The Running Man 2020,2020,N/A,18 Aug 2020,7 min,"Short, Action",Jonas Grimås,Jonas Grimås,"Sacharissa Claxton, Mia Foo, Alexandra Metaxa",N/A,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZDdhYmM5ODUtNDUwNC00ZjVjLWFiNDMtODVkMWQ0OGQ1MjAzXkEyXkFqcGdeQXVyMDM3NjY5Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,9,tt12645422,movie,N/A,N/A,N/A,N/A
Battlefield 2020,2020,N/A,08 Jun 2020,19 min,"Documentary, Short",N/A,N/A,"Janne Kinnunen, Ossi Hietala, Mikko Haikonen",N/A,Finnish,Finland,N/A,https://m.media-amazon.com/images/M/MV5BYThhNGQyNjctMDMwNi00NjYzLWE5M2QtMjAyZDI3YTZkNzI5XkEyXkFqcGdeQXVyMTY3NDQ5ODU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,9,tt12489916,movie,N/A,N/A,N/A,N/A
Halloween Spooktacular: 2020,2020,N/A,31 Oct 2020,9 min,"Short, Comedy",Alexander Prater,Alexander Prater,"Luke Dexter, Shane Hill, Kyle Koerner",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjU4Zjc5N2UtMjc3Yi00Y2ZhLTkzZTMtOTQ1N2VlN2QyYWUyXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,9,tt32166923,movie,N/A,N/A,N/A,N/A
Rain in 2020,2021,N/A,25 Jul 2021,79 min,Documentary,Yong Chao Lee,N/A,"Yong Tian Lee, Xing Ya Ma, Zheng Kai Lee","The documentary follows the life of Ah-Tian's family over the course of 7 years and also shows the changes in Myanmar, the dangerous work at the jade mines, and the big rains every year which compel Ah Tian to come back home to lo...","Chinese, Burmese","Taiwan, Myanmar",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BYTNlMTk5M2QtYmRiMi00NjRkLTg2MWQtMTJkZDQ4YWY0ZTk1XkEyXkFqcGdeQXVyODgxMDAxMjY@._V1_SX300.jpg,[],N/A,N/A,8,tt15109060,movie,N/A,N/A,N/A,N/A
2020 A.D.,2010,N/A,01 Mar 2010,70 min,"Animation, Adventure, Sci-Fi",E. Hughes,E. Hughes (screenplay),"Christopher Fullerton, Vanessa Walls, John Brett Haines, Paul J. Gitschner","Doomed to a colorless existence in a faraway galaxy, in 2020, humans stage a war for freedom.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAzNzAzOTU1NF5BMl5BanBnXkFtZTgwODY5NjkwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,8,tt1650815,movie,N/A,N/A,N/A,N/A
Quo Vadis 2020,2020,N/A,24 Sep 2020,70 min,Documentary,Gabriele Fabbro,Gabriele Fabbro,"Jessica Ghitis, Jimmy Chen, Marcello Mariani","A post millennial journey to Italy before the coronavirus outbreak. While encountering various faces of the contemporary Italian decline, the trip turns into an existential experience arising doubts within a group of ambitious fil...",N/A,United States,1 win & 15 nominations,https://m.media-amazon.com/images/M/MV5BMzUyYjIxYzItYjM5Zi00OTk5LTg4MGMtYThiY2YxZjhiMGQ4XkEyXkFqcGdeQXVyNjc1NDk3MDU@._V1_SX300.jpg,[],N/A,N/A,8,tt8160922,movie,N/A,N/A,N/A,N/A
Devolver Direct 2020,2020,N/A,11 Jul 2020,45 min,Short,Don Thacker,Don Thacker,"Mahria Zook, Kally Khourshid, Adrian DiGiovanni",At Devolver Digital Linda is out of control. It's up to Madge and Zane to save Nina Struthers...and video gamers...and video games.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmUxNDJkOTQtOTA5MS00NWRlLWE3MjMtZjY2ZGMyNDZmMzY0XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,8,tt14457334,movie,N/A,N/A,N/A,N/A
Áramótaskaup 2020,2020,N/A,31 Dec 2020,N/A,Comedy,Reynir Lyngdal,"Hugleikur Dagsson, Vala Kristin Eiriksdottir, Þorsteinn Guðmundsson, Lóa Hjálmtýsdóttir, Bragi Valdimar Skúlason, Katla M. Þorgeirsdóttir","Joi Johannsson, Þorsteinn Bachmann, Arnmundur Ernst Björnsson, Sigurður Sigurjónsson",N/A,Icelandic,Iceland,N/A,https://m.media-amazon.com/images/M/MV5BMTkzMDRkMGYtOWJjYy00MTg1LWJhM2ItZTY4MjA5ODA0ZDFhXkEyXkFqcGdeQXVyMTI3OTkxNjI4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,8,tt13393840,movie,N/A,N/A,N/A,N/A
The 2020 SNL Election Special,2020,N/A,02 Nov 2020,N/A,Comedy,N/A,N/A,N/A,N/A,English,United States,N/A,N/A,[],N/A,N/A,8,tt13387000,movie,N/A,N/A,N/A,N/A
2020 Miracles of Christmas Preview Special,2020,TV-G,18 Oct 2020,60 min,N/A,Leon Knoles,N/A,"Trevor Donovan, Jen Lilley",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTk4MDNhOGItOTU4NC00ODgwLThhY2QtYmRiNmRjYWYwMTg4XkEyXkFqcGdeQXVyNDU0OTIxMjk@._V1_SX300.jpg,[],N/A,N/A,7,tt13361906,movie,N/A,N/A,N/A,N/A
2020 Soul Train Awards,2020,TV-14,29 Nov 2020,150 min,Music,"Sandra Restrepo, Benny Boom","Nile Evans, Rj Barnes, Jesse Collins","Tessa Thompson, Tisha Campbell, Tichina Arnold","The 2020 SOUL TRAIN AWARDS is an awards ceremony that honors achievements made by musicians of color. The event, co-hosted by Tichina Arnold and Tisha Campbell-Martin, is held on November 29, 2020 and airs live on Black Entertainm...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWUxYmM3ZjMtYmE4MC00NGJlLTgxNGMtMGM4YmU1NWU2NjIyXkEyXkFqcGdeQXVyODQ1NTk5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,7,tt13476770,movie,N/A,N/A,N/A,N/A
Kalpataru ( the Tree) 2020,2022,N/A,09 Mar 2022,101 min,Drama,"Pramode Kumar, Ravi Shankar Prasad",Ravi Shankar Prasad,"Pramode Kumar, Rohit Raj, Sonamoni Jayant Gadekar",It is a movie drama on awareness of environmental Importances in daily Life .,Hindi,India,6 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjQxOTNhNDktYjczOC00YTJiLWI0NzQtZTIwMjM1Nzg2YTM5XkEyXkFqcGdeQXVyMzEzMzIwODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,7,tt11166732,movie,N/A,N/A,N/A,N/A
The National Television Awards 2020,2020,N/A,28 Jan 2020,N/A,N/A,N/A,"Andrew Dawson, Steve Dawson, Tim Inman, Andy Milligan, David Walliams","Kaye Adams, Laura Aikman, Jasmine Armfield, Emily Atack",The 2020 National Television Awards,English,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,7,tt11690172,movie,N/A,N/A,N/A,N/A
Super Bowl Greatest Commercials 2020,2020,N/A,29 Jan 2020,60 min,Comedy,Leon Knoles,Dino Shorte,"Cedric The Entertainer, Boomer Esiason, Kevin Frazier",N/A,English,United States,N/A,N/A,[],N/A,N/A,7,tt11723104,movie,N/A,N/A,N/A,N/A
Etheria Film Festival Showcase 2020,2020,N/A,19 Jun 2020,125 min,"Adventure, Horror, Mystery, Sci-Fi","Kelli Breslin, Ursula Ellis, Bears Rebecca Fonté, Carlyn Hudson, Taryn O'Neill, Yoko Okumura, Myrte Ouwerkerk, Alexandria Perez, Mia Kate Russell","Chiara Aerts, Kerry Barker, Kelli Breslin, Lauren Kurek Sweeney Cannon, Bears Rebecca Fonté, Addison Heimann, Katie Marovitch, Daniel Ross Noble, Taryn O'Neill, Alexandria Perez","Katie Marovitch, Kerry Barker, Lulu McClatchy, Katrina Mathers","Nine short films directed by women all falling in the horror, science fiction, fantasy, thriller, and dark comedy genres.","Dutch, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjcwN2MzMjAtNjE0OS00Njk0LWJmYzktZWE4MmM0ZmI3MzE5XkEyXkFqcGdeQXVyMTk5NzAxMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,7,tt12712200,movie,N/A,N/A,N/A,N/A
ID 2020 Human 1.0,2021,N/A,05 Jun 2021,27 min,"Short, Action",Osman Emre,Osman Emre,"Metin Arslan, Ceren Aydin, Yasin Aygül","System B created a fake epidemic to protect public health. Now all control is in their hands. On the other hand, while Toprak first tries to save his family and friends, on the other hand, human 2.0 will try to prevent the transforma",Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BZWM3OWE4MWYtOTJlOS00NGZhLTkyYzgtYmU4MTgzYThiZWYyXkEyXkFqcGdeQXVyNzIzMzg1NTQ@._V1_SX300.jpg,[],N/A,N/A,7,tt15154716,movie,N/A,N/A,N/A,N/A
Only Fools and Football (Euro 2020 Message from Del Boy),2021,N/A,07 Jul 2021,2 min,"Short, Comedy",N/A,N/A,David Jason,David Jason reprises his role as Del Boy to wish the England national team good luck in their final two games of Euro 2020.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZjc3Mzk2ZGEtZTJlZS00MDhiLWIzODUtYzNlZjAzYTRmNGNjXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,6,tt30760803,movie,N/A,N/A,N/A,N/A
The Queen's Christmas Broadcast 2020,2020,N/A,25 Dec 2020,N/A,Documentary,N/A,N/A,Queen Elizabeth II,"Her Majesty Queen Elizabeth II addresses her subjects all across the world, discussing the unusual Coronavirus year of 2020, Florence Nightingale, the teachings of Jesus Christ, and the Unknown Soldier.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNWNmOWFmOTEtNzJkYy00OTFhLTgwNjMtNmRiMTliOTkwZGEzXkEyXkFqcGdeQXVyMTIzMTU4NTc2._V1_SX300.jpg,[],N/A,N/A,6,tt13712094,movie,N/A,N/A,N/A,N/A
The Last Night (2020/iii) (Supratik Ganguly),2020,N/A,N/A,10 min,Short,Supratik Ganguly,Supratik Ganguly,Marie-Louise Gouws,N/A,English,South Africa,N/A,https://m.media-amazon.com/images/M/MV5BMzQwMTVlMzAtMmY4NC00ODRmLWFlNDctM2ViMjhmMzRjM2FkXkEyXkFqcGdeQXVyMTE4MzMwNDIx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,6,tt13509634,movie,N/A,N/A,N/A,N/A
Air Jaws 2020,2020,TV-PG,25 Jul 2020,41 min,Documentary,Jeff Kurr,"Lorraine DiRienzo, Jeff Kurr","Dickie Chivell, Chris Fallows, Jeff Kurr, Mike Rowe","Shark Week celebrates 20 years of flying sharks with Jeff Kurr, Chris Fallows, Dickie Chivell and many more as they revisit the most popular and iconic ""Air Jaws"" moments.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,6,tt11958314,movie,N/A,N/A,N/A,N/A
Cruising 2020,2020,N/A,20 Apr 2020,2 min,Short,Todd Verow,Todd Verow,"James Kleinmann, Todd Verow",N/A,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTZjZDA0MjEtZjI2MC00ZWQxLWE4NjAtZmQ4NzJjNzI4ZDFmXkEyXkFqcGdeQXVyMTI0MjI0NTc0._V1_SX300.jpg,[],N/A,N/A,5,tt13873358,movie,N/A,N/A,N/A,N/A
"Sin Título, 2020",2021,N/A,17 Jul 2021,N/A,Short,Dominga Sotomayor,N/A,N/A,"After a reluctant reunion in the countryside, mother and daughter travel to the city to welcome a new generation in the family.",N/A,Chile,N/A,N/A,[],N/A,N/A,5,tt14900558,movie,N/A,N/A,N/A,N/A
Popstar's Best of 2020,2020,N/A,29 Dec 2020,N/A,N/A,N/A,Noah Matthews,"Brandon Rogers, Devon Werkheiser, Anna Maria Perez de Tagle",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDAyNjMzMWUtMWIwYi00NDU4LTkzMDctZDM3ZTVkMjNlOWUwXkEyXkFqcGdeQXVyNDI1MDkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}]",N/A,2.6,5,tt13370432,movie,N/A,N/A,N/A,N/A
Once Upon a Time... The Square (2020),2020,N/A,20 Mar 2020,52 min,Documentary,Manuelle Blanc,"Manuelle Blanc, Serge July","Laurent Stocker, Ruben Östlund, Kalle Boman, Joakim Palme","The film is ""The Square"" and for its director, Swedish filmmaker Ruben Östlund, it is a denunciation of contemporary individualism: even when one has progressive ideas, it is difficult to remain true to one's values.","French, Swedish, English",France,N/A,https://m.media-amazon.com/images/M/MV5BYTVlNjdiODMtODU1Yi00MGNkLTlhZjMtMmY5MDYzNmJjMzVlXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,5,tt12526280,movie,N/A,N/A,N/A,N/A
Good Wealth 2020,2020,N/A,06 Feb 2020,82 min,Comedy,Teddy Chin,"Teddy Chin, Wesley Chong","Fai Chen, Sampson Chew, Elvis Chin","With every wish he makes, Bob loses part of his happy memories but he has no issue with this, that is until his son begins to lose memories of him.",Cantonese,Malaysia,N/A,https://m.media-amazon.com/images/M/MV5BOTU5NTlkZTQtZjdmNC00NDRlLWFjZDQtZmI1ZTNmYmYwYjc0XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,5,tt11866680,movie,N/A,N/A,N/A,N/A
Lina_Raül Refree - session Eurosonic 2020,2020,N/A,18 Jan 2020,16 min,"Documentary, Short, Music",N/A,N/A,"Lina, Raül Fernandez Miró","Two incredible musicians generating an intense, moving musical relationship. Raül Refree one of the most innovative european producers of the last decade, was blown away by Lina's voice, when he saw her sing at Clube de Fado in Li...",Portuguese,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BNzBkZmQ2ZDMtMWNiNC00N2MzLWI4ODctZGY0M2VjZTI2NmY2XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,5,tt11841040,movie,N/A,N/A,N/A,N/A
Lil Uzi Vert: Futsal Shuffle 2020,2020,N/A,07 Jan 2020,3 min,"Short, Music",Jay Weneta,N/A,"Jean Donnay, Sterling Perez, Zubair Rigby, Lil Uzi Vert","Official music video for ""Futsal Shuffle 2020"" by Lil Uzi Vert.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,5,tt11574206,movie,N/A,N/A,N/A,N/A
2020 FOX Winter Preview,2020,N/A,N/A,N/A,Talk-Show,Jay Lehrfeld,"Brian Kahn, Amy Sweet","Tim Allen, Jason Biggs, Rashida Jones, Maggie Lawson",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzVjNTU2ODItOTJiMy00NWM2LWE1OGQtZTM4NTY1ZjY2MjQxXkEyXkFqcGdeQXVyMzAyMjk2Nw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11579566,movie,N/A,N/A,N/A,N/A
Vanity Couture Miami Swim Week 2019 SS 2020,2019,N/A,08 Aug 2019,N/A,Short,N/A,N/A,"Cait Alexander, Cait Alexander, LeeAnna Michelle Burton, Raelynn Harper",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTg2OWY3ZDctODMyNy00Yjg5LWI1YjUtNDllZTEwNjVhODRhXkEyXkFqcGdeQXVyNzY4MDg4OTU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11089376,movie,N/A,N/A,N/A,N/A
Live New Girls - Live from SketchFest Chicago 2020,2020,N/A,12 Jan 2020,N/A,Comedy,Erin M. Olson,"Chris Iannucci, Erin M. Olson, Joseph Rodriguez","Cooper Bohn, Heather Christoffersen, Morgan Coppels, Steven Dionne","Live Nude Girls is a fully-clothed sketch comedy team that puts all your fever dreams on stage. Chuckle your winter blues away with squirrels, swans, Shriner cars and more. WE may not be nude, but YOU might laugh your pants off.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTRlYTZlYzEtZDcyZi00OTE5LThiMDAtMTcwMWIxNmVkNzAyXkEyXkFqcGdeQXVyODcyNTY3NDI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11598914,movie,N/A,N/A,N/A,N/A
WFA Previews 2020,2020,N/A,01 Feb 2020,N/A,"Short, News",Bragilyn Ates,N/A,"Mercy Baez, Brian Blum, Justin Andrew Davis",WFA PREVIEWS is a series of shorts showcasing the talent and creativity of the artists who created the officially selected films for the 2020 Winter Film Awards in New York City. This year the 9th Annual Winter Film Awards has select,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDViYWY2MTAtNjk2MS00Njk4LTk5Y2YtZmMwYjg3ZjdjNjg2XkEyXkFqcGdeQXVyNTM0NjQ3OTM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11581634,movie,N/A,N/A,N/A,N/A
Valentino: Haute Couture Spring/Summer 2020,2020,N/A,23 Jan 2020,16 min,Short,N/A,N/A,"Pierpaolo Piccioli, Adut Akech, Agi Akur, Amar Akway",N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNTA0MjY0OGEtNzIyYy00OGY1LWI2ZTktYTE2ODAyNDcwNmE3XkEyXkFqcGdeQXVyNTgzNzEzNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11715310,movie,N/A,N/A,N/A,N/A
iHeartRadio Podcast Awards 2020,2020,N/A,17 Jan 2020,59 min,N/A,N/A,N/A,"Brooke Burke, Gavin DeGraw, DJ Envy, Will Ferrell",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGViZTM4YmItOTc3OS00YmFiLWFmMjktN2NiNGVmOGE0NDJmXkEyXkFqcGdeQXVyNDg4NjIzNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11662108,movie,N/A,N/A,N/A,N/A
Follow 2020,2020,N/A,30 May 2020,N/A,"Short, Horror",Stephen Broekhuizen,Stephen Broekhuizen,"Mark Atkin, Shannon Hurley",N/A,N/A,Ireland,N/A,https://m.media-amazon.com/images/M/MV5BYWI0N2Y4MzktNjgxOS00MmZiLWFmMzItZmRlOGIyZDU0MWRmXkEyXkFqcGdeQXVyNDg2NDgyMjE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11667982,movie,N/A,N/A,N/A,N/A
2020 Love Ever After Preview Special,2020,N/A,25 Jan 2020,30 min,N/A,Leon Knoles,Michael E. Peter,"Luke Macfarlane, Larissa Wohl",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzc1Mjk2NGYtNWI2YS00ZjgxLTk2M2UtMDE3NTYyYjE2NWVjXkEyXkFqcGdeQXVyNDU0OTIxMjk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11679900,movie,N/A,N/A,N/A,N/A
Lord You Are Everything to Me 2020,2020,N/A,23 Jan 2020,N/A,Short,Angel,N/A,Alorangel,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzA3ZTE2Y2UtM2I2Yi00ZTYwLWI4MzMtMmZjNDEwZjNhYzhmXkEyXkFqcGdeQXVyOTIyMTA0MTM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11684124,movie,N/A,N/A,N/A,N/A
Kindergarten Cop 2020,2020,N/A,09 Mar 2020,N/A,"Short, Comedy",Neal E. Fischer,Justin Shady,"Vic Kuligoski, Cory Hardin",Two longtime friends search for closure over a traumatic event from their childhood.,N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmY1MjQ5YTItNmMyNi00Njk3LWE5ZTYtNGJhNTRmNTcwNmI0XkEyXkFqcGdeQXVyMjEzMzUyMDI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11685372,movie,N/A,N/A,N/A,N/A
Manchester City Abu Dhabi Cup Winners Coaching Clinic 2020 - TAFA Sri Lanka,2020,N/A,N/A,N/A,"Short, Sport",Ihshan Iqbal,N/A,N/A,N/A,English,Sri Lanka,N/A,https://m.media-amazon.com/images/M/MV5BNmQ3NTgyOWItZDQ4Mi00Y2Y0LWE0ZWItMGNhNDc1ZGFhMjVjXkEyXkFqcGdeQXVyMjUwMjE3NzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11688754,movie,N/A,N/A,N/A,N/A
MCFO Road Trip 2020,2021,N/A,02 Feb 2021,N/A,Documentary,N/A,N/A,N/A,N/A,English,Spain,N/A,N/A,[],N/A,N/A,N/A,tt11849806,movie,N/A,N/A,N/A,N/A
Max Fun Drive 2020,2020,N/A,27 Mar 2020,N/A,Talk-Show,N/A,N/A,N/A,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTJhZWM2MDYtNTI4NS00OTI2LTk4YWYtMDc1ZjA0M2UzYmMxXkEyXkFqcGdeQXVyMjExMTI5MzU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11864976,movie,N/A,N/A,N/A,N/A
Love 2020,2020,N/A,01 Jan 2020,N/A,"Short, Romance",Tyler Tremblay,Tyler Tremblay,"Phae Amara, Thérèse Azzara, Ruth Barrie","A series of classic love stories retold for us, modern morons.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzQ4MmMwYzAtOTIzNi00NTA0LTgyYjgtZTcyYTQ4ZTI3ZDIzXkEyXkFqcGdeQXVyNjQwODg3MjM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11865578,movie,N/A,N/A,N/A,N/A
Ghost 2020,2020,N/A,01 Jan 2020,N/A,"Short, Horror",Larry Jerome Thomas,Larry Jerome Thomas,"Courtney Rasmussen, Landon J'Sean Thomas, Larry Jerome Thomas","On his first day of freedom, a grizzled ex-con must reconnect with his troubled son before his violent past catches up with them.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTlhYmZjNTQtZjFjMC00OTIwLWI3NTMtYmE5MGM1ZjY5NzEzXkEyXkFqcGdeQXVyODc0MjQ5MTQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11695862,movie,N/A,N/A,N/A,N/A
BAFTAs 2020: Live from the Red Carpet,2020,N/A,02 Feb 2020,N/A,N/A,N/A,N/A,"Edith Bowman, Robert De Niro, Dermot O'Leary, Daisy Ridley",N/A,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNDMxMzQ3MTktZjY1OS00OWYzLTg5OGMtMWVkMzA5NTIxZmI2XkEyXkFqcGdeQXVyMjMyMjA0NTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11840850,movie,N/A,N/A,N/A,N/A
2020 NASCAR Hall of Fame Induction Ceremony,2020,N/A,31 Jan 2020,120 min,Sport,Jeff Politsch,N/A,"Rick Allen, Winston Kelley, Krista Voda",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt11723332,movie,N/A,N/A,N/A,N/A
2020 Writers Guild West Awards,2020,N/A,01 Feb 2020,135 min,N/A,Nick Murray,Shelly Goldstein,"Will Arnett, Richard Brooks, Geena Davis, Brad Falchuk",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt11727374,movie,N/A,N/A,N/A,N/A
2020 Laureus World Sports Award,2020,N/A,17 Feb 2020,N/A,"Reality-TV, Sport",N/A,"Andrew Dawson, Steve Dawson, Tim Inman, Phil Kerr","Hugh Grant, Nathan Adrian, Giacomo Agostini, Bianca Andreescu",N/A,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjNmMzdkNGUtYTJmMS00ODA2LTg5MWItOTQxNDQ4MTAwZTRhXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11744466,movie,N/A,N/A,N/A,N/A
Global Youth Summit: Actions for Earth 2020,2020,N/A,16 Feb 2020,60 min,News,Heidi Wildner,N/A,"Laura Bolortuya, Stephen Johnson, Sally Williams","The Global Youth Summit: Actions for Earth is a 3 day program held in Melbourne, Victoria, Australia, focusing on the United Nations' Sustainable Development Goals.",English,Australia,N/A,N/A,[],N/A,N/A,N/A,tt11784134,movie,N/A,N/A,N/A,N/A
2020 American Rescue Dog Show,2020,N/A,16 Feb 2020,240 min,Reality-TV,Joe DeMaio,N/A,"Rebecca Romijn, Rodney Peete, Ross Mathews","A two-night special event; shelter dogs of various breeds, from across the country, vie for top dog in the world's most adorable categories; featuring Rebecca Romijn, Rodney Peete, Ross Mathews, and Larissa Wohl;",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmIwY2NjYjMtY2QwZi00NzY4LTgyOTAtYmQ4NGRmYjdhYWFlXkEyXkFqcGdeQXVyNTA3NDQxNTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11790800,movie,N/A,N/A,N/A,N/A
Congrès de Tours 1920 - 2020,2020,N/A,12 Dec 2020,N/A,Documentary,Philippe Saada,Philippe Saada,N/A,December 29th 2020 will mark the centenary of the Tours Congress during which the French socialist party (SFIO) split and gave birth to the French Communist Party. The questions asked during the Congress have had a great place in ...,French,France,N/A,https://m.media-amazon.com/images/M/MV5BOTcyNzgwMjgtNjg1NC00ZmEzLTgyODMtZGIxZWFkMTM5NmJmXkEyXkFqcGdeQXVyNTIyNDQyOA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11803820,movie,N/A,N/A,N/A,N/A
Wuhan - Feb. 2020,2020,N/A,15 Feb 2020,61 min,Documentary,Fang Bin,N/A,"Chen Qiushi, Fang Bin, Ryan Ming, Richard Gizbert","Chinese filmmaker Fang Bin's report from hospitals in Wuhan, Hubei province, People's Republic of China, regarding the current outbreak of corona-virus disease (COVID-19). Fang Bin was not heard of after February 10,2020 3:00P.M.",Mandarin,China,N/A,https://m.media-amazon.com/images/M/MV5BZjczZmRkNjYtZmU5ZC00ODY5LWI5MTEtY2ZiNDZiYzJhNTNiXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11808932,movie,N/A,N/A,N/A,N/A
Reese's 2020 Super Fantastic Writing Experiment 2.0,2020,N/A,21 Jul 2020,N/A,Documentary,Reese Hester,N/A,Reese Hester,A writing experiment conducted by Reese Hester,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjEzMTFjNzAtYTFjMi00M2Q4LWExMzEtMDNhMzM2OTU2MThkXkEyXkFqcGdeQXVyMTA1MTYyNTE5._V1_SX300.jpg,[],N/A,N/A,N/A,tt11814042,movie,N/A,N/A,N/A,N/A
